name,evolution_info,types,abilities,HP,Atk,Def,Sp.Atk,Sp.Def,Spd,catch_rate,obtainability
Abra,"It evolves into Kadabra as early as level 16; thereafter, it will evolve into Alakazam when any traded transaction involving it is executed.",['Psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",25,20,15,105,55,90,26.14%,"['Wild', 'NPCs']"
Aerodactyl,,"['Rock', 'Flying']","['Rock Head', 'Pressure', 'Unnerve']",80,105,65,60,75,130,5.88%,"['From diggable patches and Excavation Sites', 'NPCs']"
Alakazam,"Having evolved from Kadabra when involved in any trade transaction, it is the final evolutionary stage of Abra. 
It can Mega Evolve into Mega Alakazam via exposure of the Alakazite.",['Psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",55,50,45,135,85,120,6.54%,[]
Arbok,"It evolves from Ekans as early as level 22, thereby reaching the final stage of its evolutionary line.",['Poison'],"['Intimidate', 'Shed Skin', 'Unnerve']",60,85,69,65,79,80,11.76%,"['Wild', 'Discontinued Methods']"
Arcanine,"It is the only evolutionary outlet of Growlithe, having evolved from it when contactually exposed to a Fire Stone.",['Fire'],"['Intimidate', 'Flash Fire', 'Justified']",90,110,80,100,80,95,9.8%,[]
Articuno,,"['Ice', 'Flying']","['Pressure', 'Snow Cloak']",90,85,100,95,125,85,0.39%,[]
Beedrill,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Beedrill evolves from Kakuna at level 7, thereby reaching the final stage of Weedle's evolutionary line.","['Bug', 'Poison']","['Swarm', 'Sniper']",65,80,40,45,80,75,5.88%,"['Wild', 'Headbutt Trees']"
Bellsprout,"It evolves into Weepinbell as early as level 21; thereafter, it will evolve into its final evolutionary stage in Victreebel when contactually exposed to a Leaf Stone.","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']",50,75,35,70,30,40,33.33%,"['Wild', 'NPCs']"
Blastoise,"Blastoise is a Water-type Pokémon. Having evolved from Wartortle at level 36, it is the final evolutionary stage of Squirtle.",['Water'],"['Torrent', 'Rain Dish']",79,83,100,85,105,78,31.24%,[]
Bulbasaur,"This also generates a cross-contrasted leveling chart for Bulbasaur's evolutions in Ivysaur and Venusaur, thereby outputting how much more experience they would need to level up to reach the same level as Bulbasaur; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",45,49,49,65,65,45,5.88%,"['Land', 'Headbutt Trees', 'NPCs']"
Butterfree,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Butterfree evolves from Metapod at level 7, thereby reaching the final stage of Caterpie's evolutionary line.","['Bug', 'Flying']","['Compound Eyes', 'Tinted Lens']",60,45,50,80,80,70,5.88%,"['Wild', 'Headbutt Trees']"
Caterpie,"This is a tabulated leveling chart of the amount of experience required to advance per level. It also comparatively generates the amount of experience required for its evolved forms, thereby allowing to handily cross-compare how much more experience its evolutions would need to reach the same level.",['Bug'],"['Shield Dust', 'Run Away']",45,30,35,20,20,45,33.33%,"['Wild', 'Headbutt Trees', 'NPCs']"
Chansey,"Having evolved from Happiny when leveled up while holding an Oval Stone during the day-time, it will evolve into its final evolutionary outlet in Blissey when leveled up with maximal happiness.",['Normal'],"['Natural Cure', 'Serene Grace', 'Healer']",250,5,5,35,105,50,3.92%,['Wild']
Charizard,"Charizard is a Fire- and Flying-type Pokémon. Having evolved from Charmeleon at level 36, it is the final evolutionary stage of Charmander.","['Fire', 'Flying']","['Blaze', 'Solar Power']",78,84,78,109,85,100,5.88%,[]
Charmander,"This also generates a cross-contrasted leveling chart for Charmander's evolutions in Charmeleon and Charizard, thereby outputting how much more experience they would need to level up to reach the same level as Charmander; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.",['Fire'],"['Blaze', 'Solar Power']",39,52,43,60,50,65,5.88%,"['Wild', 'Headbutt Trees', 'NPCs']"
Charmeleon,"Charmeleon is a Fire-type Pokémon. Having evolved from Charmander at level 16, it evolves into Charizard at level 36.",['Fire'],"['Blaze', 'Solar Power']",58,64,58,80,65,80,5.88%,[]
Clefable,"Having evolved from Clefairy when contactually exposed to a Moon Stone, Clefable is the final stage of Cleffa's evolutionary line.",['Fairy'],"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,85,90,60,3.27%,['Wild']
Clefairy,"Having evolved from Cleffa when leveled up with maximal happiness, it evolves into Clefable when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",['Fairy'],"['Cute Charm', 'Magic Guard', 'Friend Guard']",70,45,48,60,65,35,19.61%,['Wild']
Cloyster,"It is the only evolutionary outlet of Shellder, having evolved from it when contactually exposed to a Water Stone.","['Water', 'Ice']","['Shell Armor', 'Skill Link', 'Overcoat']",50,95,180,85,45,70,7.84%,[]
Cubone,It evolves into its only evolutionary outlet in Marowak as early as level 28.,['Ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",50,50,95,40,50,35,24.84%,"['Wild', 'Excavation Sites']"
Dewgong,"It is the only evolutionary outlet of Seel, having evolved from it as early as level 34.","['Water', 'Ice']","['Thick Fat', 'Hydration', 'Ice Body']",90,70,80,70,95,70,9.8%,['Wild']
Diglett,"Alolan Diglett is a Ground and Steel-type Pokémon. 
It evolves into Alolan Dugtrio starting at level 26.",['Ground'],"['Sand Veil', 'Arena Trap', 'Sand Force']",10,55,25,35,45,95,33.33%,[]
Ditto,,['Normal'],"['Limber', 'Imposter']",48,48,48,48,48,48,4.58%,['Wild']
Dodrio,It evolves from Doduo as early as level 31.,"['Normal', 'Flying']","['Run Away', 'Early Bird', 'Tangled Feet']",60,110,70,60,60,100,5.88%,['Wild']
Doduo,It evolves into Dodrio as early as level 31.,"['Normal', 'Flying']","['Run Away', 'Early Bird', 'Tangled Feet']",35,85,45,35,35,75,24.84%,['Wild']
