name,evolution_info,ability_1,ability_2,hidden_ability,hp,atk,def,sp_atk,sp_def,spd,catch_rate,rarity,obtainability,type1,type2,wiki_url,gen
Abra,"It evolves into Kadabra as early as level 16; thereafter, it will evolve into Alakazam when any traded transaction involving it is executed.",Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,26.14,Uncommon,"['Wild', 'NPCs']",Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Abra,1
Aerodactyl,,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,5.88,Unhuntable,"['From diggable patches and Excavation Sites', 'NPCs']",Rock, Flying,https://wiki.pokemonrevolution.net/index.php?title=Aerodactyl,1
Alakazam,"Having evolved from Kadabra when involved in any trade transaction, it is the final evolutionary stage of Abra. 
It can Mega Evolve into Mega Alakazam via exposure of the Alakazite.",Synchronize,Inner Focus,Magic Guard,55,50,45,135,85,120,6.54,Unhuntable,[],Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Alakazam,1
Arbok,"It evolves from Ekans as early as level 22, thereby reaching the final stage of its evolutionary line.",Intimidate,Shed Skin,Unnerve,60,85,69,65,79,80,11.76,Common,"['Wild', 'Discontinued Methods']",Poison,,https://wiki.pokemonrevolution.net/index.php?title=Arbok,1
Arcanine,"It is the only evolutionary outlet of Growlithe, having evolved from it when contactually exposed to a Fire Stone.",Intimidate,Flash Fire,Justified,90,110,80,100,80,95,9.8,Uncommon,[],Fire,,https://wiki.pokemonrevolution.net/index.php?title=Arcanine,1
Articuno,,Pressure,,Snow Cloak,90,85,100,95,125,85,0.39,Unhuntable,[],Ice, Flying,https://wiki.pokemonrevolution.net/index.php?title=Articuno,1
Beedrill,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Beedrill evolves from Kakuna at level 7, thereby reaching the final stage of Weedle's evolutionary line.",Swarm,,Sniper,65,80,40,45,80,75,5.88,Uncommon,"['Wild', 'Headbutt Trees']",Bug, Poison,https://wiki.pokemonrevolution.net/index.php?title=Beedrill,1
Bellsprout,"It evolves into Weepinbell as early as level 21; thereafter, it will evolve into its final evolutionary stage in Victreebel when contactually exposed to a Leaf Stone.",Chlorophyll,,Gluttony,50,75,35,70,30,40,33.33,Common,"['Wild', 'NPCs']",Grass, Poison,https://wiki.pokemonrevolution.net/index.php?title=Bellsprout,1
Blastoise,"Blastoise is a Water-type Pokémon. Having evolved from Wartortle at level 36, it is the final evolutionary stage of Squirtle.",Torrent,,Rain Dish,79,83,100,85,105,78,31.24,Unhuntable,[],Water,,https://wiki.pokemonrevolution.net/index.php?title=Blastoise,1
Bulbasaur,"This also generates a cross-contrasted leveling chart for Bulbasaur's evolutions in Ivysaur and Venusaur, thereby outputting how much more experience they would need to level up to reach the same level as Bulbasaur; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.",Overgrow,,Chlorophyll,45,49,49,65,65,45,5.88,Rare,"['Land', 'Headbutt Trees', 'NPCs']",Grass, Poison,https://wiki.pokemonrevolution.net/index.php?title=Bulbasaur,1
